Program Name,Program Type,Sonic Boom/ Big Bet,Lead,Start Date,End Date,Fiscal Quarter,Goal,Working Group,Campaign,Industry,Additional Shared Services Support,Notes,Link to program doc
Accelerate ACME,Virtual Event,Big Bet,Roger Erra,4/21/2026,4/21,Q1,1850,Media & Entertainment,AI Data Cloud,Media & Entertainment,"MOPS, Video, Design, Web",,
Ebook: Databricks Compete Customer Book,Content,,Abbie Fontanilla,4/21/2026,4/30,Q1,,Platform,AI Data Cloud,,"MOPS, Design, Web",,
Accelerate MFG,Virtual Event,Big Bet,Roger Erra,4/22/2026,4/22,Q1,2000,Manufacturing,AI Data Cloud,Manufacturing,"MOPS, Video, Design, Web",,
Google Next,In Person Event,,Chris Lotspeich,4/22/2026,4/24,Q1,,Platform,,,"MOPS, Web",,
VHOL: Enrich Agents with 3rd Party Data and Easy Distribution,Webinar,,Abbie Fontanilla,4/22/2026,4/22,Q1,,Applications & Collaboration,Enterprise-ready Data Agents,,"MOPS, Video, Design, Web",,
Accelerate Pub Sec,Virtual Event,Big Bet,Roger Erra,4/23/2026,4/23,Q1,1700,Public Sector,AI Data Cloud,Public Sector,"MOPS, Video, Design, Web",,
Possible,In Person Event,,,4/27/2026,4/29,Q1,,,,"Media & Entertainment, Public Sector",MOPS,,
StartUp Grind,In Person Event,,Chris Lotspeich,4/27/2026,4/29,Q1,,Platform,,,"MOPS, Web",,
Accelerate FSI,Virtual Event,Big Bet,Roger Erra,4/28/2026,4/28,Q1,3750,Financial Services,AI Data Cloud,"Public Sector, Financial Services","MOPS, Video, Design, Web",,
Accelerate RCG,Virtual Event,Big Bet,Roger Erra,4/29/2026,4/29,Q1,1450,Retail & CPG,AI Data Cloud,Retail & CPG,"MOPS, Video, Design, Web",,
Accelerate HCLS,Virtual Event,Big Bet,Gayatri Kapur,4/30/2026,4/30,Q1,3250,Healthcare & Life Sciences,AI Data Cloud,Healthcare & Life Sciences,"Video, Design, MOPS","Video: Editing and creating a single file for On24
Design: new banners for HCLS industry 
MOPs: Creating a custom page with operational emails ",
Data Cloud Demo,Webinar,,Abbie Fontanilla,4/30/2026,4/30,Q1,,Platform,AI Data Cloud,,,,
Northstar Education,Content,,Chris Lotspeich,5/1/2026,7/31,Q2,,Developer,,,MOPS,Global Students only - Emails only,
SAP+Snowflake for DE,Content,,JC Quiambao,5/1/2026,,Q2,,Data Engineering,Get Your Data AI Ready,,,,
FSI,In Person Event,,,5/4/2026,5/7,Q2,,,,Financial Services,MOPS,,
Gartner Supply Chain,In Person Event,,,5/4/2026,5/6,Q2,,,,Manufacturing,MOPS,,
Build End-to-End Pipelines in Python with Snowflake,Webinar,,JC Quiambao,5/6/2026,5/6,Q2,2000,Data Engineering,Get Your Data AI Ready,,,,
Interactive + Partner Webinar,Webinar,,Roma Patel,5/6/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
SAP Sapphire,In Person Event,,Chris Lotspeich,5/11/2026,5/13,Q2,,,,Manufacturing,MOPS,,
AI Council,In Person Event,,Chris Lotspeich,5/12/2026,5/14,Q2,,Developer,,,MOPS,,
Choosing the Right Architecture Pattern and Table Format,Webinar,,JC Quiambao,5/13/2026,5/13,Q2,1500,Data Engineering,Get Your Data AI Ready,,,,
Blue Yonder Icon,In Person Event,,Chris Lotspeich,5/17/2026,5/20,Q2,,Platform,,,"MOPS, Web",,
MLSys 2026,In Person Event,,Chris Lotspeich,5/17/2026,5/22,Q2,,Developer,,,MOPS,,
Open Source Summit,In Person Event,,Chris Lotspeich,5/18/2026,5/20,Q2,,Developer,,,MOPS,,
Migrations Redshift Ecoysystem Webinar,Webinar,,Roma Patel,5/19/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
Veeva,In Person Event,,,5/19/2026,5/20,Q2,,,,Healthcare & Life Sciences,MOPS,,
Thoughtspot/Sigma VHOL (Semantic Views + Interactive Tables),Webinar,,Roma Patel,5/26/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
Marketing Days at Summit,In Person Event,Sonic Boom,Lydia Luke,6/1/2026,6/4,Q2,,Marketing,AI Data Cloud,,"Web, Design, MOPS",,
MMDS,Content,Big Bet,Lydia Luke,6/1/2026,7/1,Q2,3000,Marketing,AI Data Cloud,,"MOPS, Design, Web",Launching at Summit,
SUMMIT,In Person Event,Sonic Boom,Thomas Pauly,6/1/2026,6/4,Q2,,AI Data Cloud,AI Data Cloud,,"MOPS, Video, Design, Web",,
The Data Engineer’s Guide to Enterprise AI,Content,,JC Quiambao,6/1/2026,,Q2,,Data Engineering,Get Your Data AI Ready,,,,
Dev Day,In Person Event,Sonic Boom,Chris Lotspeich,6/4/2026,6/4,Q2,15000,Platform,Enterprise-ready Data Agents,,"MOPS, Video, Design, Web",,
Snowpark Connect or Connect/Iceberg VHOL,Webinar,,JC Quiambao,6/17/2026,6/17,Q2,1500,Data Engineering,Get Your Data AI Ready,,,,
Geospatial + Time Series VHOL,Webinar,,Roma Patel,6/23/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
Openflow Connectivity,Webinar,,JC Quiambao,6/24/2026,6/24,Q2,1000,Data Engineering,Get Your Data AI Ready,,,,
Dev Day,Virtual Event,Sonic Boom,Chris Lotspeich,6/25/2026,6/25,Q2,15000,Platform,Enterprise-ready Data Agents,,"MOPS, Video, Design, Web",,
Migrations Customer Story Webinar,Webinar,,Roma Patel,6/30/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
The Data Engineer’s Guide to Spark,Content,,JC Quiambao,7/1/2026,,Q2,,Data Engineering,Get Your Data AI Ready,,,,
Build Data Engineering Pipelines Using Snowpark in Snowflake Notebooks,Webinar,,JC Quiambao,7/15/2026,7/15,Q2,2000,Data Engineering,Get Your Data AI Ready,,,,
Series Kick-off 'All Things Semantic Views',Webinar,,Roma Patel,7/15/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
Applied Analytics Webinar Hold (Work with PMM to pick a topic),Webinar,,Roma Patel,7/22/2026,,Q2,,Analytics,Modernize Your Data Estate,,,,
Snowflake Connect: DE | New Architecture for Iceberg,Webinar,Big Bet,JC Quiambao,7/29/2026,7/29,Q2,4500,Data Engineering,Get Your Data AI Ready,,,,
TDWI Custom Webinar,3rd Party Webinar,,Roma Patel,7/30/2026,,Q2,300,Analytics,Modernize Your Data Estate,,,,
SVAI Hub Event 1,In Person Event,,Chris Lotspeich,TBD,TBD,Q1,,Developer,,,MOPS,,
SVAI Hub Event 1,In Person Event,,Chris Lotspeich,TBD,TBD,Q2,,Developer,,,MOPS,,
SVAI Hub Event 2,In Person Event,,Chris Lotspeich,TBD,TBD,Q1,,Developer,,,MOPS,,
SVAI Hub Event 2,In Person Event,,Chris Lotspeich,TBD,TBD,Q2,,Developer,,,MOPS,,
SVAI Hub Event 3,In Person Event,,Chris Lotspeich,TBD,TBD,Q1,,Developer,,,MOPS,,
SVAI Hub Event 3,In Person Event,,Chris Lotspeich,TBD,TBD,Q2,,Developer,,,MOPS,,
SVAI Hub Event 4,In Person Event,,Chris Lotspeich,TBD,TBD,Q1,,Developer,,,MOPS,,
SVAI Hub Event 4,In Person Event,,Chris Lotspeich,TBD,TBD,Q2,,Developer,,,MOPS,,
SVAI Hub Event 5,In Person Event,,Chris Lotspeich,TBD,TBD,Q1,,Developer,,,MOPS,,
SVAI Hub Event 5,In Person Event,,Chris Lotspeich,TBD,TBD,Q2,,Developer,,,MOPS,,
SVAI Hub Event 6,In Person Event,,Chris Lotspeich,TBD,TBD,Q1,,Developer,,,MOPS,,
SVAI Hub Event 6,In Person Event,,Chris Lotspeich,TBD,TBD,Q2,,Developer,,,MOPS,,
eBook: Essential Guide to Interactive Analytics,Content,,Gayatri Kapur,,,Q2,,Analytics,Modernize Your Data Estate,,,,
eBook: Mitigating Migration Risks,Content,,Gayatri Kapur,,,Q2,,Analytics,Modernize Your Data Estate,,,,
Enterprise Intelligence eBook,Content,,Julie Hoyt,,,Q1,500,AI & ML,Enterprise-ready Data Agents,,"MOPS, Design, Web",,
FedGov Today,3rd Party Webinar,,Erin Troiano,,,Q2,250,Public Sector,Modernize Your Data Estate,Public Sector,,,
Financial Services Success Guide,Content,,Roger Erra,,,Q1,500,"AI Data Cloud, Financial Services",AI Data Cloud,Financial Services,Design,,
Fraud Waste and Abuse Webinar,Webinar,,Erin Troiano,,,Q1,200,Public Sector,AI Data Cloud,Public Sector,"MOPS, Web, Design",,
Future of Payments eBook,Content,,Roger Erra,,,Q2,500,Financial Services,AI Data Cloud,Financial Services,"Design, Web",,
Half-gated guide: Semantic Views Autopilot ,Content,,Roma Patel,,,Q2,,Analytics,Modernize Your Data Estate,,,,
Public Sector Capabilites Brief,Content,,Erin Troiano,,,Q1,,Platform,AI Data Cloud,Public Sector,,,
ROI of Gen AI and Agents - Snowflake Solutions eBook,Content,,Julie Hoyt,,,Q2,,AI & ML,Enterprise-ready Data Agents,,"MOPS, Design, Web",,
RoI of Gen AI eBook,Content,Big Bet,Julie Hoyt,,,Q1,,AI & ML,Enterprise-ready Data Agents,,"MOPS, Design, Web",,
TDWI Agentic AI Report & Webinar,3rd Party Webinar,,Julie Hoyt,,,Q2,,AI & ML,Enterprise-ready Data Agents,,MOPS,,
Trends Ebook - Public Sector,Content,,Erin Troiano,,,Q1,200,Public Sector,AI Data Cloud,Public Sector,"MOPS, Design, Web",,
VHOL: Data Agents,Webinar,,Julie Hoyt,,,Q2,,AI & ML,Enterprise-ready Data Agents,,"MOPS, Design, Web",,
VHOL: Unstructured Data Insights ,Webinar,,Julie Hoyt,,,Q2,,AI & ML,Enterprise-ready Data Agents,,"MOPS, Design, Web",,
Virtual Event: What's New in AI,Virtual Event,Big Bet,Julie Hoyt,,,Q2,,AI & ML,Enterprise-ready Data Agents,,"MOPS, Video, Design, Web",,
